City,Country,Venue,Opening act(s),Revenue,Tour,Tickets sold,Tickets available,Tickets remaining,Number of opening acts,Capacity utilization,Average ticket price
Glendale,United States,Gila River Arena,Vance Joy,1514814.0,The 1989 World Tour,13260.0,13260.0,0.0,1,1.0,114.2393665158371
Glendale,United States,Gila River Arena,Vance Joy,1514814.0,The 1989 World Tour,13260.0,13260.0,0.0,1,1.0,114.2393665158371
Los Angeles,United States,Staples Center,Vance Joy and Haim,1792336.2,The 1989 World Tour,14112.6,14112.6,0.0,2,1.0,127.00255091195102
Los Angeles,United States,Staples Center,Vance Joy and Haim,1792336.2,The 1989 World Tour,14112.6,14112.6,0.0,2,1.0,127.00255091195102
Los Angeles,United States,Staples Center,Vance Joy and Haim,1792336.2,The 1989 World Tour,14112.6,14112.6,0.0,2,1.0,127.00255091195102
Los Angeles,United States,Staples Center,Vance Joy and Haim,1792336.2,The 1989 World Tour,14112.6,14112.6,0.0,2,1.0,127.00255091195102
Los Angeles,United States,Staples Center,Vance Joy and Haim,1792336.2,The 1989 World Tour,14112.6,14112.6,0.0,2,1.0,127.00255091195102
San Diego,United States,Petco Park,Vance Joy and Shawn Mendes,5475237.0,The 1989 World Tour,44710.0,44710.0,0.0,2,1.0,122.46112726459405
Salt Lake City,United States,EnergySolutions Arena,Vance Joy,1589686.0,The 1989 World Tour,14131.0,14131.0,0.0,1,1.0,112.49635553039417
Denver,United States,Pepsi Center,Vance Joy,1434495.5,The 1989 World Tour,13563.0,13563.0,0.0,1,1.0,105.76535427265354
Denver,United States,Pepsi Center,Vance Joy,1434495.5,The 1989 World Tour,13563.0,13563.0,0.0,1,1.0,105.76535427265354
Houston,United States,Minute Maid Park,Vance Joy and Shawn Mendes,5202196.0,The 1989 World Tour,40122.0,40122.0,0.0,2,1.0,129.65943871192863
Saint Paul,United States,Xcel Energy Center,Vance Joy,1838287.6666666667,The 1989 World Tour,15042.0,15042.0,0.0,1,1.0,122.21032220892613
Saint Paul,United States,Xcel Energy Center,Vance Joy,1838287.6666666667,The 1989 World Tour,15042.0,15042.0,0.0,1,1.0,122.21032220892613
Saint Paul,United States,Xcel Energy Center,Vance Joy,1838287.6666666667,The 1989 World Tour,15042.0,15042.0,0.0,1,1.0,122.21032220892613
Indianapolis,United States,Bankers Life Fieldhouse,Vance Joy,1550268.0,The 1989 World Tour,14010.0,14010.0,0.0,1,1.0,110.65438972162741
Columbus,United States,Nationwide Arena,Vance Joy,1684846.5,The 1989 World Tour,14968.0,14968.0,0.0,1,1.0,112.5632349011224
Columbus,United States,Nationwide Arena,Vance Joy,1684846.5,The 1989 World Tour,14968.0,14968.0,0.0,1,1.0,112.5632349011224
Kansas City,United States,Sprint Center,Vance Joy,1483779.0,The 1989 World Tour,13928.5,13928.5,0.0,1,1.0,106.5282693757404
Kansas City,United States,Sprint Center,Vance Joy,1483779.0,The 1989 World Tour,13928.5,13928.5,0.0,1,1.0,106.5282693757404
Nashville,United States,Bridgestone Arena,Vance Joy and Haim,1677422.0,The 1989 World Tour,14458.5,14458.5,0.0,2,1.0,116.01632257841408
Nashville,United States,Bridgestone Arena,Vance Joy and Haim,1677422.0,The 1989 World Tour,14458.5,14458.5,0.0,2,1.0,116.01632257841408
St. Louis,United States,Scottrade Center,Vance Joy and Haim,1726470.0,The 1989 World Tour,14844.0,14844.0,0.0,2,1.0,116.30759902991107
St. Louis,United States,Scottrade Center,Vance Joy and Haim,1726470.0,The 1989 World Tour,14844.0,14844.0,0.0,2,1.0,116.30759902991107
Toronto,Canada,Rogers Centre,Vance Joy and Shawn Mendes,4335495.0,The 1989 World Tour,49641.5,49641.5,0.0,2,1.0,87.33609983582285
Toronto,Canada,Rogers Centre,Vance Joy and Shawn Mendes,4335495.0,The 1989 World Tour,49641.5,49641.5,0.0,2,1.0,87.33609983582285
Des Moines,United States,Wells Fargo Arena,Vance Joy,1566321.0,The 1989 World Tour,13969.0,13969.0,0.0,1,1.0,112.1283556446417
Omaha,United States,CenturyLink Center Omaha,Vance Joy,1560710.5,The 1989 World Tour,14811.0,14811.0,0.0,1,1.0,105.37509283640537
Omaha,United States,CenturyLink Center Omaha,Vance Joy,1560710.5,The 1989 World Tour,14811.0,14811.0,0.0,1,1.0,105.37509283640537
Fargo,United States,Fargodome,Vance Joy,2219188.0,The 1989 World Tour,21067.0,21067.0,0.0,1,1.0,105.33953576683913
Arlington,United States,AT&T Stadium,Vance Joy and Shawn Mendes,7396733.0,The 1989 World Tour,62630.0,62630.0,0.0,2,1.0,118.10207568258024
Lexington,United States,Rupp Arena,Vance Joy,1870471.0,The 1989 World Tour,17084.0,17084.0,0.0,1,1.0,109.48671271365019
Greensboro,United States,Greensboro Coliseum,Vance Joy,1662171.0,The 1989 World Tour,15079.0,15079.0,0.0,1,1.0,110.23085085217852
Atlanta,United States,Georgia Dome,Vance Joy and Shawn Mendes,6034846.0,The 1989 World Tour,56046.0,56046.0,0.0,2,1.0,107.67665845912286
Miami,United States,American Airlines Arena,Vance Joy,1527919.0,The 1989 World Tour,14044.0,14044.0,0.0,1,1.0,108.79514383366562
Tampa,United States,Raymond James Stadium,Vance Joy and Shawn Mendes,6202515.0,The 1989 World Tour,56987.0,56987.0,0.0,2,1.0,108.84087598926071
Singapore,Singapore,Singapore Indoor Stadium,No Opening Act,1608784.5,The 1989 World Tour,8863.0,8863.0,0.0,0,1.0,181.51692429200045
Singapore,Singapore,Singapore Indoor Stadium,No Opening Act,1608784.5,The 1989 World Tour,8863.0,8863.0,0.0,0,1.0,181.51692429200045
Shanghai,China,Mercedes-Benz Arena,No Opening Act,1972449.3333333333,The 1989 World Tour,12586.0,12586.0,0.0,0,1.0,156.71772869325704
Shanghai,China,Mercedes-Benz Arena,No Opening Act,1972449.3333333333,The 1989 World Tour,12586.0,12586.0,0.0,0,1.0,156.71772869325704
Shanghai,China,Mercedes-Benz Arena,No Opening Act,1972449.3333333333,The 1989 World Tour,12586.0,12586.0,0.0,0,1.0,156.71772869325704
Sydney,Australia,ANZ Stadium,Vance Joy,6571683.0,The 1989 World Tour,75980.0,75980.0,0.0,1,1.0,86.49227428270598
Brisbane,Australia,Suncorp Stadium,Vance Joy,4759471.0,The 1989 World Tour,46881.0,46881.0,0.0,1,1.0,101.52238646786545
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,1203749.5,The 1989 World Tour,10045.0,10045.0,0.0,1,1.0,119.8356893977103
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,1203749.5,The 1989 World Tour,10045.0,10045.0,0.0,1,1.0,119.8356893977103
Melbourne,Australia,AAMI Park,Vance Joy,3473851.0,The 1989 World Tour,32712.0,32712.0,0.0,1,1.0,106.19500489117144
Melbourne,Australia,AAMI Park,Vance Joy,3473851.0,The 1989 World Tour,32712.0,32712.0,0.0,1,1.0,106.19500489117144
Melbourne,Australia,AAMI Park,Vance Joy,3473851.0,The 1989 World Tour,32712.0,32712.0,0.0,1,1.0,106.19500489117144
Glendale,United States,University of Phoenix Stadium,Camila Cabello and Charli XCX,7214478.0,Reputation Stadium Tour,59157.0,59157.0,0.0,2,1.0,121.95476444038745
Santa Clara,United States,Levi's Stadium,Camila Cabello and Charli XCX,7003481.5,Reputation Stadium Tour,53775.0,53775.0,0.0,2,1.0,130.2367549976755
Santa Clara,United States,Levi's Stadium,Camila Cabello and Charli XCX,7003481.5,Reputation Stadium Tour,53775.0,53775.0,0.0,2,1.0,130.2367549976755
Pasadena,United States,Rose Bowl,Camila Cabello and Charli XCX,8125990.0,Reputation Stadium Tour,59042.0,59042.0,0.0,2,1.0,137.63066969276107
Pasadena,United States,Rose Bowl,Camila Cabello and Charli XCX,8125990.0,Reputation Stadium Tour,59042.0,59042.0,0.0,2,1.0,137.63066969276107
Seattle,United States,CenturyLink Field,Charli XCX,8672219.0,Reputation Stadium Tour,56021.0,56021.0,0.0,1,1.0,154.8030024455115
Denver,United States,Sports Authority Field at Mile High,Camila Cabello and Charli XCX,7926366.0,Reputation Stadium Tour,57140.0,57140.0,0.0,2,1.0,138.71834091704585
Chicago,United States,Soldier Field,Camila Cabello and Charli XCX,7288348.5,Reputation Stadium Tour,52604.0,52604.0,0.0,2,1.0,138.55122234050643
Chicago,United States,Soldier Field,Camila Cabello and Charli XCX,7288348.5,Reputation Stadium Tour,52604.0,52604.0,0.0,2,1.0,138.55122234050643
Manchester,England,Etihad Stadium,Camila Cabello and Charli XCX,3084862.0,Reputation Stadium Tour,38629.0,38629.0,0.0,2,1.0,79.85870718889953
Manchester,England,Etihad Stadium,Camila Cabello and Charli XCX,3084862.0,Reputation Stadium Tour,38629.0,38629.0,0.0,2,1.0,79.85870718889953
Dublin,Ireland,Croke Park,Camila Cabello and Charli XCX,4283884.5,Reputation Stadium Tour,66517.0,66517.0,0.0,2,1.0,64.40285190252116
Dublin,Ireland,Croke Park,Camila Cabello and Charli XCX,4283884.5,Reputation Stadium Tour,66517.0,66517.0,0.0,2,1.0,64.40285190252116
London,England,Wembley Stadium,Camila Cabello and Charli XCX,6107466.5,Reputation Stadium Tour,71713.5,71713.5,0.0,2,1.0,85.16480857858005
London,England,Wembley Stadium,Camila Cabello and Charli XCX,6107466.5,Reputation Stadium Tour,71713.5,71713.5,0.0,2,1.0,85.16480857858005
Louisville,United States,Cardinal Stadium,Camila Cabello and Charli XCX,4928219.0,Reputation Stadium Tour,52138.0,52138.0,0.0,2,1.0,94.52259388545782
Columbus,United States,Ohio Stadium,Camila Cabello and Charli XCX,6606529.0,Reputation Stadium Tour,62897.0,62897.0,0.0,2,1.0,105.03726727824856
Landover,United States,FedExField,Camila Cabello and Charli XCX,5698002.0,Reputation Stadium Tour,47836.0,47836.0,0.0,2,1.0,119.11535245421858
Landover,United States,FedExField,Camila Cabello and Charli XCX,5698002.0,Reputation Stadium Tour,47836.0,47836.0,0.0,2,1.0,119.11535245421858
Philadelphia,United States,Lincoln Financial Field,Camila Cabello and Charli XCX,5975523.5,Reputation Stadium Tour,53689.0,53689.0,0.0,2,1.0,111.29884147590754
Philadelphia,United States,Lincoln Financial Field,Camila Cabello and Charli XCX,5975523.5,Reputation Stadium Tour,53689.0,53689.0,0.0,2,1.0,111.29884147590754
Cleveland,United States,FirstEnergy Stadium,Camila Cabello and Charli XCX,5148757.0,Reputation Stadium Tour,51323.0,51323.0,0.0,2,1.0,100.32065545661789
East Rutherford,United States,MetLife Stadium,Camila Cabello and Charli XCX,7343795.333333333,Reputation Stadium Tour,55218.0,55218.0,0.0,2,1.0,132.99640213939898
East Rutherford,United States,MetLife Stadium,Camila Cabello and Charli XCX,7343795.333333333,Reputation Stadium Tour,55218.0,55218.0,0.0,2,1.0,132.99640213939898
East Rutherford,United States,MetLife Stadium,Camila Cabello and Charli XCX,7343795.333333333,Reputation Stadium Tour,55218.0,55218.0,0.0,2,1.0,132.99640213939898
Foxborough,United States,Gillette Stadium,Camila Cabello and Charli XCX,7259948.666666667,Reputation Stadium Tour,58254.666666666664,58254.666666666664,0.0,2,1.0,124.62432766473646
Foxborough,United States,Gillette Stadium,Camila Cabello and Charli XCX,7259948.666666667,Reputation Stadium Tour,58254.666666666664,58254.666666666664,0.0,2,1.0,124.62432766473646
Foxborough,United States,Gillette Stadium,Camila Cabello and Charli XCX,7259948.666666667,Reputation Stadium Tour,58254.666666666664,58254.666666666664,0.0,2,1.0,124.62432766473646
Toronto,Canada,Rogers Centre,Camila Cabello and Charli XCX,5588500.0,Reputation Stadium Tour,50155.0,50155.0,0.0,2,1.0,111.42458379025022
Toronto,Canada,Rogers Centre,Camila Cabello and Charli XCX,5588500.0,Reputation Stadium Tour,50155.0,50155.0,0.0,2,1.0,111.42458379025022
Pittsburgh,United States,Heinz Field,Camila Cabello and Charli XCX,6230876.0,Reputation Stadium Tour,56445.0,56445.0,0.0,2,1.0,110.38844893258924
Atlanta,United States,Mercedes-Benz Stadium,Camila Cabello and Charli XCX,9044707.5,Reputation Stadium Tour,58373.0,58373.0,0.0,2,1.0,154.94676477138404
Atlanta,United States,Mercedes-Benz Stadium,Camila Cabello and Charli XCX,9044707.5,Reputation Stadium Tour,58373.0,58373.0,0.0,2,1.0,154.94676477138404
Tampa,United States,Raymond James Stadium,Camila Cabello and Charli XCX,7244264.0,Reputation Stadium Tour,55909.0,55909.0,0.0,2,1.0,129.57241231286554
Miami Gardens,United States,Hard Rock Stadium,Camila Cabello and Charli XCX,7072164.0,Reputation Stadium Tour,47818.0,47818.0,0.0,2,1.0,147.89752812748338
Nashville,United States,Nissan Stadium,Camila Cabello and Charli XCX,9007179.0,Reputation Stadium Tour,56112.0,56112.0,0.0,2,1.0,160.52143926432848
Detroit,United States,Ford Field,Camila Cabello and Charli XCX,6597852.0,Reputation Stadium Tour,49464.0,49464.0,0.0,2,1.0,133.38694808345463
Minneapolis,United States,U.S. Bank Stadium,Camila Cabello and Charli XCX,5121012.0,Reputation Stadium Tour,49387.0,49387.0,0.0,2,1.0,103.6914977625691
Minneapolis,United States,U.S. Bank Stadium,Camila Cabello and Charli XCX,5121012.0,Reputation Stadium Tour,49387.0,49387.0,0.0,2,1.0,103.6914977625691
Kansas City,United States,Arrowhead Stadium,Camila Cabello and Charli XCX,6730138.0,Reputation Stadium Tour,58611.0,58611.0,0.0,2,1.0,114.82721673406016
Indianapolis,United States,Lucas Oil Stadium,Camila Cabello and Charli XCX,6531245.0,Reputation Stadium Tour,55729.0,55729.0,0.0,2,1.0,117.1965224568896
St. Louis,United States,The Dome at America's Center,Camila Cabello and Charli XCX,4884054.0,Reputation Stadium Tour,47831.0,47831.0,0.0,2,1.0,102.11063954339237
New Orleans,United States,Mercedes-Benz Superdome,Camila Cabello and Charli XCX,6491546.0,Reputation Stadium Tour,53172.0,53172.0,0.0,2,1.0,122.08579703603401
Houston,United States,NRG Stadium,Camila Cabello and Charli XCX,9350275.0,Reputation Stadium Tour,53800.0,53800.0,0.0,2,1.0,173.79693308550185
Arlington,United States,AT&T Stadium,Camila Cabello and Charli XCX,7503078.5,Reputation Stadium Tour,52501.0,52501.0,0.0,2,1.0,142.91305879888003
Arlington,United States,AT&T Stadium,Camila Cabello and Charli XCX,7503078.5,Reputation Stadium Tour,52501.0,52501.0,0.0,2,1.0,142.91305879888003
Perth,Australia,Optus Stadium,Charli XCX and Broods,4153658.0,Reputation Stadium Tour,50891.0,50891.0,0.0,2,1.0,81.61871450747677
Melbourne,Australia,Marvel Stadium,Charli XCX and Broods,6755570.0,Reputation Stadium Tour,63027.0,63027.0,0.0,2,1.0,107.18533326986847
Sydney,Australia,ANZ Stadium,Charli XCX and Broods,7686564.0,Reputation Stadium Tour,72805.0,72805.0,0.0,2,1.0,105.57741913330129
Brisbane,Australia,The Gabba,Charli XCX and Broods,4338127.0,Reputation Stadium Tour,43907.0,43907.0,0.0,2,1.0,98.8026282825062
Auckland,New Zealand,Mount Smart Stadium,Charli XCX and Broods,3617593.0,Reputation Stadium Tour,35749.0,35749.0,0.0,2,1.0,101.19424319561386
Tokyo,Japan,Tokyo Dome,Charli XCX,7429923.5,Reputation Stadium Tour,50054.5,50054.5,0.0,1,1.0,148.4366740253124
Tokyo,Japan,Tokyo Dome,Charli XCX,7429923.5,Reputation Stadium Tour,50054.5,50054.5,0.0,1,1.0,148.4366740253124
